index,title,abstract,Master Ref#,PubMed ID,Journal,Primary Author,Publication Year,Volume / Issue,Pages,Priority Journal,PubMed ID:,Full Reference:,"Study Outcome ($/QALY, $/DALY, Both):",Study Country:,Disease Classification:,Intervention Type(s):,Intervention Phrase vs. Comparator Phrase:,Target Characteristics:,Max Target Age:,Min Target Age:,Target Genders:,Review:,Time Horizon:,Discounting Rate (Costs):,Discounting Rate (QALYs):,Incremental Cost-Effectiveness Ratio (Original currency and year):,Currency Country:,Currency Year:,Incremental Cost-Effectiveness Ratio (Converted to current $USD):
28582,Cost-effectiveness analysis of breast cancer control interventions in Peru,"OBJECTIVES: In Peru, a country with constrained health resources, breast cancer control is characterized by late stage treatment and poor survival. To support breast cancer control in Peru, this study aims to determine the cost-effectiveness of different breast cancer control interventions relevant for the Peruvian context. METHODS: We performed a cost-effectiveness analysis (CEA) according to WHO-CHOICE guidelines, from a healthcare perspective. Different screening, early detection, palliative, and treatment interventions were evaluated using mathematical modeling. Effectiveness estimates were based on observational studies, modeling, and on information from Instituto Nacional de Enfermedades Neoplasicas (INEN). Resource utilizations and unit costs were based on estimates from INEN and observational studies. Cost-effectiveness estimates are in 2012 United States dollars (US$) per disability adjusted life year (DALY) averted. RESULTS: The current breast cancer program in Peru ($8,426 per DALY averted) could be improved through implementing triennial or biennial screening strategies. These strategies seem the most cost-effective in Peru, particularly when mobile mammography is applied (from $4,125 per DALY averted), or when both CBE screening and mammography screening are combined (from $4,239 per DALY averted). Triennially, these interventions costs between $63 million and $72 million per year. Late stage treatment, trastuzumab therapy and annual screening strategies are the least cost-effective. CONCLUSIONS: Our analysis suggests that breast cancer control in Peru should be oriented towards early detection through combining fixed and mobile mammography screening (age 45-69) triennially. However, a phased introduction of triennial CBE screening (age 40-69) with upfront FNA in non-urban settings, and both CBE (age 40-49) and fixed mammography screening (age 50-69) in urban settings, seems a more feasible option and is also cost-effective. The implementation of this intervention is only meaningful if awareness raising, diagnostic, referral, treatment and basic palliative services are simultaneously improved, and if financial and organizational barriers to these services are reduced.",2013-99-14900,24349314,PLoS One,Sten G Zelle,2013,8 / 12,e82575,No,24349314,"Sten G Zelle; Tatiana Vidaurre; Julio E Abugattas; Javier E Manrique; Gustavo Sarria; Jose Jeronimo; Janice N Seinfeld; Jeremy A Lauer; Cecilia R Sepulveda; Diego Venegas; Rob Baltussen; Cost-effectiveness analysis of breast cancer control interventions in Peru, PLoS One , ; 8(12):1932-6203; e82575",DALY,Peru,Not Stated,"Care Delivery, Pharmaceutical, Screening",Stage I to IV treatment with annual CBE clinical breast examination) screening vs. None,Not Stated,64 Years,19 Years,Female,Full,,3.00,3.00,6046,United States,2012,6815.38
28583,Cost-effectiveness analysis of breast cancer control interventions in Peru,"OBJECTIVES: In Peru, a country with constrained health resources, breast cancer control is characterized by late stage treatment and poor survival. To support breast cancer control in Peru, this study aims to determine the cost-effectiveness of different breast cancer control interventions relevant for the Peruvian context. METHODS: We performed a cost-effectiveness analysis (CEA) according to WHO-CHOICE guidelines, from a healthcare perspective. Different screening, early detection, palliative, and treatment interventions were evaluated using mathematical modeling. Effectiveness estimates were based on observational studies, modeling, and on information from Instituto Nacional de Enfermedades Neoplasicas (INEN). Resource utilizations and unit costs were based on estimates from INEN and observational studies. Cost-effectiveness estimates are in 2012 United States dollars (US$) per disability adjusted life year (DALY) averted. RESULTS: The current breast cancer program in Peru ($8,426 per DALY averted) could be improved through implementing triennial or biennial screening strategies. These strategies seem the most cost-effective in Peru, particularly when mobile mammography is applied (from $4,125 per DALY averted), or when both CBE screening and mammography screening are combined (from $4,239 per DALY averted). Triennially, these interventions costs between $63 million and $72 million per year. Late stage treatment, trastuzumab therapy and annual screening strategies are the least cost-effective. CONCLUSIONS: Our analysis suggests that breast cancer control in Peru should be oriented towards early detection through combining fixed and mobile mammography screening (age 45-69) triennially. However, a phased introduction of triennial CBE screening (age 40-69) with upfront FNA in non-urban settings, and both CBE (age 40-49) and fixed mammography screening (age 50-69) in urban settings, seems a more feasible option and is also cost-effective. The implementation of this intervention is only meaningful if awareness raising, diagnostic, referral, treatment and basic palliative services are simultaneously improved, and if financial and organizational barriers to these services are reduced.",2013-99-14900,24349314,PLoS One,Sten G Zelle,2013,8 / 12,e82575,No,24349314,"Sten G Zelle; Tatiana Vidaurre; Julio E Abugattas; Javier E Manrique; Gustavo Sarria; Jose Jeronimo; Janice N Seinfeld; Jeremy A Lauer; Cecilia R Sepulveda; Diego Venegas; Rob Baltussen; Cost-effectiveness analysis of breast cancer control interventions in Peru, PLoS One , ; 8(12):1932-6203; e82575",DALY,Peru,Not Stated,"Care Delivery, Pharmaceutical, Screening",Stage I to IV treatment with annual CBE screening vs. None,Not Stated,Not Stated,19 Years,Female,Full,,3.00,3.00,5675,United States,2012,6397.17
28584,Cost-effectiveness analysis of breast cancer control interventions in Peru,"OBJECTIVES: In Peru, a country with constrained health resources, breast cancer control is characterized by late stage treatment and poor survival. To support breast cancer control in Peru, this study aims to determine the cost-effectiveness of different breast cancer control interventions relevant for the Peruvian context. METHODS: We performed a cost-effectiveness analysis (CEA) according to WHO-CHOICE guidelines, from a healthcare perspective. Different screening, early detection, palliative, and treatment interventions were evaluated using mathematical modeling. Effectiveness estimates were based on observational studies, modeling, and on information from Instituto Nacional de Enfermedades Neoplasicas (INEN). Resource utilizations and unit costs were based on estimates from INEN and observational studies. Cost-effectiveness estimates are in 2012 United States dollars (US$) per disability adjusted life year (DALY) averted. RESULTS: The current breast cancer program in Peru ($8,426 per DALY averted) could be improved through implementing triennial or biennial screening strategies. These strategies seem the most cost-effective in Peru, particularly when mobile mammography is applied (from $4,125 per DALY averted), or when both CBE screening and mammography screening are combined (from $4,239 per DALY averted). Triennially, these interventions costs between $63 million and $72 million per year. Late stage treatment, trastuzumab therapy and annual screening strategies are the least cost-effective. CONCLUSIONS: Our analysis suggests that breast cancer control in Peru should be oriented towards early detection through combining fixed and mobile mammography screening (age 45-69) triennially. However, a phased introduction of triennial CBE screening (age 40-69) with upfront FNA in non-urban settings, and both CBE (age 40-49) and fixed mammography screening (age 50-69) in urban settings, seems a more feasible option and is also cost-effective. The implementation of this intervention is only meaningful if awareness raising, diagnostic, referral, treatment and basic palliative services are simultaneously improved, and if financial and organizational barriers to these services are reduced.",2013-99-14900,24349314,PLoS One,Sten G Zelle,2013,8 / 12,e82575,No,24349314,"Sten G Zelle; Tatiana Vidaurre; Julio E Abugattas; Javier E Manrique; Gustavo Sarria; Jose Jeronimo; Janice N Seinfeld; Jeremy A Lauer; Cecilia R Sepulveda; Diego Venegas; Rob Baltussen; Cost-effectiveness analysis of breast cancer control interventions in Peru, PLoS One , ; 8(12):1932-6203; e82575",DALY,Peru,Not Stated,"Care Delivery, Pharmaceutical, Screening",Stage I to IV treatment with annual CBE (clinical breast examination) screening vs. None,Not Stated,Not Stated,41 Years,Female,Full,,3.00,3.00,6400,United States,2012,7214.43
28585,Cost-effectiveness analysis of breast cancer control interventions in Peru,"OBJECTIVES: In Peru, a country with constrained health resources, breast cancer control is characterized by late stage treatment and poor survival. To support breast cancer control in Peru, this study aims to determine the cost-effectiveness of different breast cancer control interventions relevant for the Peruvian context. METHODS: We performed a cost-effectiveness analysis (CEA) according to WHO-CHOICE guidelines, from a healthcare perspective. Different screening, early detection, palliative, and treatment interventions were evaluated using mathematical modeling. Effectiveness estimates were based on observational studies, modeling, and on information from Instituto Nacional de Enfermedades Neoplasicas (INEN). Resource utilizations and unit costs were based on estimates from INEN and observational studies. Cost-effectiveness estimates are in 2012 United States dollars (US$) per disability adjusted life year (DALY) averted. RESULTS: The current breast cancer program in Peru ($8,426 per DALY averted) could be improved through implementing triennial or biennial screening strategies. These strategies seem the most cost-effective in Peru, particularly when mobile mammography is applied (from $4,125 per DALY averted), or when both CBE screening and mammography screening are combined (from $4,239 per DALY averted). Triennially, these interventions costs between $63 million and $72 million per year. Late stage treatment, trastuzumab therapy and annual screening strategies are the least cost-effective. CONCLUSIONS: Our analysis suggests that breast cancer control in Peru should be oriented towards early detection through combining fixed and mobile mammography screening (age 45-69) triennially. However, a phased introduction of triennial CBE screening (age 40-69) with upfront FNA in non-urban settings, and both CBE (age 40-49) and fixed mammography screening (age 50-69) in urban settings, seems a more feasible option and is also cost-effective. The implementation of this intervention is only meaningful if awareness raising, diagnostic, referral, treatment and basic palliative services are simultaneously improved, and if financial and organizational barriers to these services are reduced.",2013-99-14900,24349314,PLoS One,Sten G Zelle,2013,8 / 12,e82575,No,24349314,"Sten G Zelle; Tatiana Vidaurre; Julio E Abugattas; Javier E Manrique; Gustavo Sarria; Jose Jeronimo; Janice N Seinfeld; Jeremy A Lauer; Cecilia R Sepulveda; Diego Venegas; Rob Baltussen; Cost-effectiveness analysis of breast cancer control interventions in Peru, PLoS One , ; 8(12):1932-6203; e82575",DALY,Peru,Not Stated,"Care Delivery, Pharmaceutical, Screening",Stage I to IV treatment with annual CBE (clinical breast examination) screening vs. None,Not Stated,Not Stated,41 Years,Female,Full,,3.00,3.00,7793,United States,2012,8784.7
28586,Cost-effectiveness analysis of breast cancer control interventions in Peru,"OBJECTIVES: In Peru, a country with constrained health resources, breast cancer control is characterized by late stage treatment and poor survival. To support breast cancer control in Peru, this study aims to determine the cost-effectiveness of different breast cancer control interventions relevant for the Peruvian context. METHODS: We performed a cost-effectiveness analysis (CEA) according to WHO-CHOICE guidelines, from a healthcare perspective. Different screening, early detection, palliative, and treatment interventions were evaluated using mathematical modeling. Effectiveness estimates were based on observational studies, modeling, and on information from Instituto Nacional de Enfermedades Neoplasicas (INEN). Resource utilizations and unit costs were based on estimates from INEN and observational studies. Cost-effectiveness estimates are in 2012 United States dollars (US$) per disability adjusted life year (DALY) averted. RESULTS: The current breast cancer program in Peru ($8,426 per DALY averted) could be improved through implementing triennial or biennial screening strategies. These strategies seem the most cost-effective in Peru, particularly when mobile mammography is applied (from $4,125 per DALY averted), or when both CBE screening and mammography screening are combined (from $4,239 per DALY averted). Triennially, these interventions costs between $63 million and $72 million per year. Late stage treatment, trastuzumab therapy and annual screening strategies are the least cost-effective. CONCLUSIONS: Our analysis suggests that breast cancer control in Peru should be oriented towards early detection through combining fixed and mobile mammography screening (age 45-69) triennially. However, a phased introduction of triennial CBE screening (age 40-69) with upfront FNA in non-urban settings, and both CBE (age 40-49) and fixed mammography screening (age 50-69) in urban settings, seems a more feasible option and is also cost-effective. The implementation of this intervention is only meaningful if awareness raising, diagnostic, referral, treatment and basic palliative services are simultaneously improved, and if financial and organizational barriers to these services are reduced.",2013-99-14900,24349314,PLoS One,Sten G Zelle,2013,8 / 12,e82575,No,24349314,"Sten G Zelle; Tatiana Vidaurre; Julio E Abugattas; Javier E Manrique; Gustavo Sarria; Jose Jeronimo; Janice N Seinfeld; Jeremy A Lauer; Cecilia R Sepulveda; Diego Venegas; Rob Baltussen; Cost-effectiveness analysis of breast cancer control interventions in Peru, PLoS One , ; 8(12):1932-6203; e82575",DALY,Peru,Not Stated,"Care Delivery, Pharmaceutical, Screening",Stage I to IV treatment with annual CBE (clinical breast examination) screening vs. None,Not Stated,Not Stated,Not Stated,Female,Full,,3.00,3.00,9886,United States,2012,11144.04
28587,Cost-effectiveness analysis of breast cancer control interventions in Peru,"OBJECTIVES: In Peru, a country with constrained health resources, breast cancer control is characterized by late stage treatment and poor survival. To support breast cancer control in Peru, this study aims to determine the cost-effectiveness of different breast cancer control interventions relevant for the Peruvian context. METHODS: We performed a cost-effectiveness analysis (CEA) according to WHO-CHOICE guidelines, from a healthcare perspective. Different screening, early detection, palliative, and treatment interventions were evaluated using mathematical modeling. Effectiveness estimates were based on observational studies, modeling, and on information from Instituto Nacional de Enfermedades Neoplasicas (INEN). Resource utilizations and unit costs were based on estimates from INEN and observational studies. Cost-effectiveness estimates are in 2012 United States dollars (US$) per disability adjusted life year (DALY) averted. RESULTS: The current breast cancer program in Peru ($8,426 per DALY averted) could be improved through implementing triennial or biennial screening strategies. These strategies seem the most cost-effective in Peru, particularly when mobile mammography is applied (from $4,125 per DALY averted), or when both CBE screening and mammography screening are combined (from $4,239 per DALY averted). Triennially, these interventions costs between $63 million and $72 million per year. Late stage treatment, trastuzumab therapy and annual screening strategies are the least cost-effective. CONCLUSIONS: Our analysis suggests that breast cancer control in Peru should be oriented towards early detection through combining fixed and mobile mammography screening (age 45-69) triennially. However, a phased introduction of triennial CBE screening (age 40-69) with upfront FNA in non-urban settings, and both CBE (age 40-49) and fixed mammography screening (age 50-69) in urban settings, seems a more feasible option and is also cost-effective. The implementation of this intervention is only meaningful if awareness raising, diagnostic, referral, treatment and basic palliative services are simultaneously improved, and if financial and organizational barriers to these services are reduced.",2013-99-14900,24349314,PLoS One,Sten G Zelle,2013,8 / 12,e82575,No,24349314,"Sten G Zelle; Tatiana Vidaurre; Julio E Abugattas; Javier E Manrique; Gustavo Sarria; Jose Jeronimo; Janice N Seinfeld; Jeremy A Lauer; Cecilia R Sepulveda; Diego Venegas; Rob Baltussen; Cost-effectiveness analysis of breast cancer control interventions in Peru, PLoS One , ; 8(12):1932-6203; e82575",DALY,Peru,Not Stated,"Care Delivery, Pharmaceutical, Screening",Stage I to IV treatment with biennial CBE (clinical breast examination) screening vs. None,Not Stated,Not Stated,19 Years,Female,Full,,3.00,3.00,5268,United States,2012,5938.38
28588,Cost-effectiveness analysis of breast cancer control interventions in Peru,"OBJECTIVES: In Peru, a country with constrained health resources, breast cancer control is characterized by late stage treatment and poor survival. To support breast cancer control in Peru, this study aims to determine the cost-effectiveness of different breast cancer control interventions relevant for the Peruvian context. METHODS: We performed a cost-effectiveness analysis (CEA) according to WHO-CHOICE guidelines, from a healthcare perspective. Different screening, early detection, palliative, and treatment interventions were evaluated using mathematical modeling. Effectiveness estimates were based on observational studies, modeling, and on information from Instituto Nacional de Enfermedades Neoplasicas (INEN). Resource utilizations and unit costs were based on estimates from INEN and observational studies. Cost-effectiveness estimates are in 2012 United States dollars (US$) per disability adjusted life year (DALY) averted. RESULTS: The current breast cancer program in Peru ($8,426 per DALY averted) could be improved through implementing triennial or biennial screening strategies. These strategies seem the most cost-effective in Peru, particularly when mobile mammography is applied (from $4,125 per DALY averted), or when both CBE screening and mammography screening are combined (from $4,239 per DALY averted). Triennially, these interventions costs between $63 million and $72 million per year. Late stage treatment, trastuzumab therapy and annual screening strategies are the least cost-effective. CONCLUSIONS: Our analysis suggests that breast cancer control in Peru should be oriented towards early detection through combining fixed and mobile mammography screening (age 45-69) triennially. However, a phased introduction of triennial CBE screening (age 40-69) with upfront FNA in non-urban settings, and both CBE (age 40-49) and fixed mammography screening (age 50-69) in urban settings, seems a more feasible option and is also cost-effective. The implementation of this intervention is only meaningful if awareness raising, diagnostic, referral, treatment and basic palliative services are simultaneously improved, and if financial and organizational barriers to these services are reduced.",2013-99-14900,24349314,PLoS One,Sten G Zelle,2013,8 / 12,e82575,No,24349314,"Sten G Zelle; Tatiana Vidaurre; Julio E Abugattas; Javier E Manrique; Gustavo Sarria; Jose Jeronimo; Janice N Seinfeld; Jeremy A Lauer; Cecilia R Sepulveda; Diego Venegas; Rob Baltussen; Cost-effectiveness analysis of breast cancer control interventions in Peru, PLoS One , ; 8(12):1932-6203; e82575",DALY,Peru,Not Stated,"Care Delivery, Pharmaceutical, Screening",Stage I to IV treatment with biennial CBE (clinical breast examination) screening vs. None,Not Stated,Not Stated,19 Years,Female,Full,,3.00,3.00,5940,United States,2012,6695.9
28589,Cost-effectiveness analysis of breast cancer control interventions in Peru,"OBJECTIVES: In Peru, a country with constrained health resources, breast cancer control is characterized by late stage treatment and poor survival. To support breast cancer control in Peru, this study aims to determine the cost-effectiveness of different breast cancer control interventions relevant for the Peruvian context. METHODS: We performed a cost-effectiveness analysis (CEA) according to WHO-CHOICE guidelines, from a healthcare perspective. Different screening, early detection, palliative, and treatment interventions were evaluated using mathematical modeling. Effectiveness estimates were based on observational studies, modeling, and on information from Instituto Nacional de Enfermedades Neoplasicas (INEN). Resource utilizations and unit costs were based on estimates from INEN and observational studies. Cost-effectiveness estimates are in 2012 United States dollars (US$) per disability adjusted life year (DALY) averted. RESULTS: The current breast cancer program in Peru ($8,426 per DALY averted) could be improved through implementing triennial or biennial screening strategies. These strategies seem the most cost-effective in Peru, particularly when mobile mammography is applied (from $4,125 per DALY averted), or when both CBE screening and mammography screening are combined (from $4,239 per DALY averted). Triennially, these interventions costs between $63 million and $72 million per year. Late stage treatment, trastuzumab therapy and annual screening strategies are the least cost-effective. CONCLUSIONS: Our analysis suggests that breast cancer control in Peru should be oriented towards early detection through combining fixed and mobile mammography screening (age 45-69) triennially. However, a phased introduction of triennial CBE screening (age 40-69) with upfront FNA in non-urban settings, and both CBE (age 40-49) and fixed mammography screening (age 50-69) in urban settings, seems a more feasible option and is also cost-effective. The implementation of this intervention is only meaningful if awareness raising, diagnostic, referral, treatment and basic palliative services are simultaneously improved, and if financial and organizational barriers to these services are reduced.",2013-99-14900,24349314,PLoS One,Sten G Zelle,2013,8 / 12,e82575,No,24349314,"Sten G Zelle; Tatiana Vidaurre; Julio E Abugattas; Javier E Manrique; Gustavo Sarria; Jose Jeronimo; Janice N Seinfeld; Jeremy A Lauer; Cecilia R Sepulveda; Diego Venegas; Rob Baltussen; Cost-effectiveness analysis of breast cancer control interventions in Peru, PLoS One , ; 8(12):1932-6203; e82575",DALY,Peru,Not Stated,"Care Delivery, Pharmaceutical, Screening",Stage I to IV treatment with biennial CBE (clinical breast examination) screening vs. None,Not Stated,Not Stated,19 Years,Female,Full,,3.00,3.00,5605,United States,2012,6318.26
28590,Cost-effectiveness analysis of breast cancer control interventions in Peru,"OBJECTIVES: In Peru, a country with constrained health resources, breast cancer control is characterized by late stage treatment and poor survival. To support breast cancer control in Peru, this study aims to determine the cost-effectiveness of different breast cancer control interventions relevant for the Peruvian context. METHODS: We performed a cost-effectiveness analysis (CEA) according to WHO-CHOICE guidelines, from a healthcare perspective. Different screening, early detection, palliative, and treatment interventions were evaluated using mathematical modeling. Effectiveness estimates were based on observational studies, modeling, and on information from Instituto Nacional de Enfermedades Neoplasicas (INEN). Resource utilizations and unit costs were based on estimates from INEN and observational studies. Cost-effectiveness estimates are in 2012 United States dollars (US$) per disability adjusted life year (DALY) averted. RESULTS: The current breast cancer program in Peru ($8,426 per DALY averted) could be improved through implementing triennial or biennial screening strategies. These strategies seem the most cost-effective in Peru, particularly when mobile mammography is applied (from $4,125 per DALY averted), or when both CBE screening and mammography screening are combined (from $4,239 per DALY averted). Triennially, these interventions costs between $63 million and $72 million per year. Late stage treatment, trastuzumab therapy and annual screening strategies are the least cost-effective. CONCLUSIONS: Our analysis suggests that breast cancer control in Peru should be oriented towards early detection through combining fixed and mobile mammography screening (age 45-69) triennially. However, a phased introduction of triennial CBE screening (age 40-69) with upfront FNA in non-urban settings, and both CBE (age 40-49) and fixed mammography screening (age 50-69) in urban settings, seems a more feasible option and is also cost-effective. The implementation of this intervention is only meaningful if awareness raising, diagnostic, referral, treatment and basic palliative services are simultaneously improved, and if financial and organizational barriers to these services are reduced.",2013-99-14900,24349314,PLoS One,Sten G Zelle,2013,8 / 12,e82575,No,24349314,"Sten G Zelle; Tatiana Vidaurre; Julio E Abugattas; Javier E Manrique; Gustavo Sarria; Jose Jeronimo; Janice N Seinfeld; Jeremy A Lauer; Cecilia R Sepulveda; Diego Venegas; Rob Baltussen; Cost-effectiveness analysis of breast cancer control interventions in Peru, PLoS One , ; 8(12):1932-6203; e82575",DALY,Peru,Not Stated,"Care Delivery, Pharmaceutical, Screening",Stage I to IV treatment with biennial CBE (clinical breast examination) screening vs. None,Not Stated,64 Years,41 Years,Female,Full,,3.00,3.00,6530,United States,2012,7360.98
28591,Cost-effectiveness analysis of breast cancer control interventions in Peru,"OBJECTIVES: In Peru, a country with constrained health resources, breast cancer control is characterized by late stage treatment and poor survival. To support breast cancer control in Peru, this study aims to determine the cost-effectiveness of different breast cancer control interventions relevant for the Peruvian context. METHODS: We performed a cost-effectiveness analysis (CEA) according to WHO-CHOICE guidelines, from a healthcare perspective. Different screening, early detection, palliative, and treatment interventions were evaluated using mathematical modeling. Effectiveness estimates were based on observational studies, modeling, and on information from Instituto Nacional de Enfermedades Neoplasicas (INEN). Resource utilizations and unit costs were based on estimates from INEN and observational studies. Cost-effectiveness estimates are in 2012 United States dollars (US$) per disability adjusted life year (DALY) averted. RESULTS: The current breast cancer program in Peru ($8,426 per DALY averted) could be improved through implementing triennial or biennial screening strategies. These strategies seem the most cost-effective in Peru, particularly when mobile mammography is applied (from $4,125 per DALY averted), or when both CBE screening and mammography screening are combined (from $4,239 per DALY averted). Triennially, these interventions costs between $63 million and $72 million per year. Late stage treatment, trastuzumab therapy and annual screening strategies are the least cost-effective. CONCLUSIONS: Our analysis suggests that breast cancer control in Peru should be oriented towards early detection through combining fixed and mobile mammography screening (age 45-69) triennially. However, a phased introduction of triennial CBE screening (age 40-69) with upfront FNA in non-urban settings, and both CBE (age 40-49) and fixed mammography screening (age 50-69) in urban settings, seems a more feasible option and is also cost-effective. The implementation of this intervention is only meaningful if awareness raising, diagnostic, referral, treatment and basic palliative services are simultaneously improved, and if financial and organizational barriers to these services are reduced.",2013-99-14900,24349314,PLoS One,Sten G Zelle,2013,8 / 12,e82575,No,24349314,"Sten G Zelle; Tatiana Vidaurre; Julio E Abugattas; Javier E Manrique; Gustavo Sarria; Jose Jeronimo; Janice N Seinfeld; Jeremy A Lauer; Cecilia R Sepulveda; Diego Venegas; Rob Baltussen; Cost-effectiveness analysis of breast cancer control interventions in Peru, PLoS One , ; 8(12):1932-6203; e82575",DALY,Peru,Not Stated,"Care Delivery, Pharmaceutical, Screening",Stage I to IV treatment with biennial CBE (clinical breast examination) screening vs. None,Not Stated,Not Stated,41 Years,Female,Full,,3.00,3.00,8193,United States,2012,9235.6
28592,Cost-effectiveness analysis of breast cancer control interventions in Peru,"OBJECTIVES: In Peru, a country with constrained health resources, breast cancer control is characterized by late stage treatment and poor survival. To support breast cancer control in Peru, this study aims to determine the cost-effectiveness of different breast cancer control interventions relevant for the Peruvian context. METHODS: We performed a cost-effectiveness analysis (CEA) according to WHO-CHOICE guidelines, from a healthcare perspective. Different screening, early detection, palliative, and treatment interventions were evaluated using mathematical modeling. Effectiveness estimates were based on observational studies, modeling, and on information from Instituto Nacional de Enfermedades Neoplasicas (INEN). Resource utilizations and unit costs were based on estimates from INEN and observational studies. Cost-effectiveness estimates are in 2012 United States dollars (US$) per disability adjusted life year (DALY) averted. RESULTS: The current breast cancer program in Peru ($8,426 per DALY averted) could be improved through implementing triennial or biennial screening strategies. These strategies seem the most cost-effective in Peru, particularly when mobile mammography is applied (from $4,125 per DALY averted), or when both CBE screening and mammography screening are combined (from $4,239 per DALY averted). Triennially, these interventions costs between $63 million and $72 million per year. Late stage treatment, trastuzumab therapy and annual screening strategies are the least cost-effective. CONCLUSIONS: Our analysis suggests that breast cancer control in Peru should be oriented towards early detection through combining fixed and mobile mammography screening (age 45-69) triennially. However, a phased introduction of triennial CBE screening (age 40-69) with upfront FNA in non-urban settings, and both CBE (age 40-49) and fixed mammography screening (age 50-69) in urban settings, seems a more feasible option and is also cost-effective. The implementation of this intervention is only meaningful if awareness raising, diagnostic, referral, treatment and basic palliative services are simultaneously improved, and if financial and organizational barriers to these services are reduced.",2013-99-14900,24349314,PLoS One,Sten G Zelle,2013,8 / 12,e82575,No,24349314,"Sten G Zelle; Tatiana Vidaurre; Julio E Abugattas; Javier E Manrique; Gustavo Sarria; Jose Jeronimo; Janice N Seinfeld; Jeremy A Lauer; Cecilia R Sepulveda; Diego Venegas; Rob Baltussen; Cost-effectiveness analysis of breast cancer control interventions in Peru, PLoS One , ; 8(12):1932-6203; e82575",DALY,Peru,Not Stated,"Care Delivery, Pharmaceutical, Screening",Stage I to IV treatment with biennial CBE (clinical breast examination) screening vs. None,Not Stated,64 Years,41 Years,Female,Full,,3.00,3.00,10731,United States,2012,12096.57
28593,Cost-effectiveness analysis of breast cancer control interventions in Peru,"OBJECTIVES: In Peru, a country with constrained health resources, breast cancer control is characterized by late stage treatment and poor survival. To support breast cancer control in Peru, this study aims to determine the cost-effectiveness of different breast cancer control interventions relevant for the Peruvian context. METHODS: We performed a cost-effectiveness analysis (CEA) according to WHO-CHOICE guidelines, from a healthcare perspective. Different screening, early detection, palliative, and treatment interventions were evaluated using mathematical modeling. Effectiveness estimates were based on observational studies, modeling, and on information from Instituto Nacional de Enfermedades Neoplasicas (INEN). Resource utilizations and unit costs were based on estimates from INEN and observational studies. Cost-effectiveness estimates are in 2012 United States dollars (US$) per disability adjusted life year (DALY) averted. RESULTS: The current breast cancer program in Peru ($8,426 per DALY averted) could be improved through implementing triennial or biennial screening strategies. These strategies seem the most cost-effective in Peru, particularly when mobile mammography is applied (from $4,125 per DALY averted), or when both CBE screening and mammography screening are combined (from $4,239 per DALY averted). Triennially, these interventions costs between $63 million and $72 million per year. Late stage treatment, trastuzumab therapy and annual screening strategies are the least cost-effective. CONCLUSIONS: Our analysis suggests that breast cancer control in Peru should be oriented towards early detection through combining fixed and mobile mammography screening (age 45-69) triennially. However, a phased introduction of triennial CBE screening (age 40-69) with upfront FNA in non-urban settings, and both CBE (age 40-49) and fixed mammography screening (age 50-69) in urban settings, seems a more feasible option and is also cost-effective. The implementation of this intervention is only meaningful if awareness raising, diagnostic, referral, treatment and basic palliative services are simultaneously improved, and if financial and organizational barriers to these services are reduced.",2013-99-14900,24349314,PLoS One,Sten G Zelle,2013,8 / 12,e82575,No,24349314,"Sten G Zelle; Tatiana Vidaurre; Julio E Abugattas; Javier E Manrique; Gustavo Sarria; Jose Jeronimo; Janice N Seinfeld; Jeremy A Lauer; Cecilia R Sepulveda; Diego Venegas; Rob Baltussen; Cost-effectiveness analysis of breast cancer control interventions in Peru, PLoS One , ; 8(12):1932-6203; e82575",DALY,Peru,Not Stated,"Care Delivery, Pharmaceutical, Screening",Stage I to IV treatment with triennial CBE (clinical breast examination) screening vs. None,Not Stated,Not Stated,19 Years,Female,Full,,3.00,3.00,5267,United States,2012,5937.25
